flux_bias,t2_echo,error_bar
1.2,0.36235617563730826,0.026836421756926788
1.18,0.35758325525578616,0.02434146373369667
1.16,0.4569226229924483,0.028238875855211457
1.14,0.5466670671333113,0.026986380311329713
1.12,0.6897878918647234,0.03761243347439208
1.1,0.7722721458800456,0.045181207786949514
1.08,1.034295315749864,0.06719146700888343
1.06,1.2539450593806112,0.07710831921824425
1.04,1.578046216911125,0.12935405567935832
1.02,1.8602725283060424,0.19137866662982783
1.0,2.0737972778080276,0.2158170003253129
0.98,2.7943672912067665,0.34481754288272287
0.96,3.022271332492727,0.46312415897082765
0.94,3.367952591307156,0.6332635359948632
0.92,4.013653925186238,0.778349305135981
0.9,4.244594487517806,0.8345207958618471
0.88,4.286731644779684,0.8079654212062887
0.86,5.171028701558286,1.1889377975085689
0.84,6.117211332912178,1.8990420672868036
0.82,6.757385570407295,2.3331380331077947
0.8,6.100306082543896,1.8264833175716961
0.78,6.945634177118435,2.1663378722198936
0.76,5.638007128129619,1.5760579345771026
0.74,6.554612871988402,2.1521160257405874
0.72,6.86867321118269,2.33846613986667
0.7,6.433996917792713,2.0473324480563027
0.68,15.080266833132308,11.385007770560552
0.66,10.98093767702391,6.09018002521728
0.64,14.647245782780997,11.214256312798483
0.62,12.471880200406222,7.762623785089508
0.6,11.73899328018076,7.287124360819515
